CR Data,CR Hora,CR Tamanho,Dist MME,CA Hora,Contratos,Offset,TP,Pontos,Valor,Cod Status,Status
2021-11-01,10:00,200,406.4100000000035,10:10,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-01,11:20,230,296.7899999999936,11:35,1,50,50,-330,-66.0,1,Estopou
2021-11-03,10:40,240,436.0500000000029,10:50,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-03,11:35,225,315.5899999999965,11:40,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-03,11:45,265,366.41999999999825,11:55,1,50,50,-365,-73.0,1,Estopou
2021-11-04,10:20,245,307.5399999999936,10:30,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,10:45,205,510.36999999999534,10:50,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-04,11:00,395,327.1999999999971,11:25,1,50,50,-495,-99.0,1,Estopou
2021-11-04,12:00,230,326.02999999999884,12:15,1,50,50,-330,-66.0,1,Estopou
2021-11-05,10:00,205,259.9499999999971,10:10,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-05,10:25,200,465.6000000000058,10:40,1,50,50,-300,-60.0,1,Estopou
2021-11-05,10:50,435,475.2899999999936,11:05,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-05,11:10,245,355.6399999999994,11:15,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-08,11:10,210,372.1000000000058,11:20,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-08,11:35,305,391.38000000000466,11:40,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-08,11:45,240,613.8300000000017,12:00,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-09,10:40,205,434.679999999993,10:45,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-09,10:50,200,689.6900000000023,11:00,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-09,11:05,225,678.7700000000041,11:25,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-09,11:35,255,320.47000000000116,11:45,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-10,11:00,200,301.0500000000029,11:15,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-10,11:20,200,420.08000000000175,11:30,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-10,11:35,265,591.7299999999959,11:55,1,50,50,-365,-73.0,1,Estopou
2021-11-10,12:00,295,556.9499999999971,12:10,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-11,10:00,340,370.6999999999971,10:25,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-11,10:30,230,356.5200000000041,10:40,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-11,10:45,250,342.41999999999825,11:05,1,50,50,50,10.0,2,"Rompeu para cima, não rompeu para baixo e pagou para cima"
2021-11-12,11:15,440,293.4600000000064,11:25,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
2021-11-12,11:30,235,690.2100000000064,11:40,1,50,50,50,10.0,3,"Rompeu para baixo, não rompeu para cima e pagou para baixo"
